Date,7-day-moving-avg,prior_year_7d_moving_avg,Delta Change
27-11-22 0:00,3210472.286,4050938.143,-0.207474374
26-11-22 0:00,3202455,4025756,-0.204508349
28-11-22 0:00,3258812.571,4064722.286,-0.198269318
29-11-22 0:00,3295371.286,3986802.286,-0.17342997
25-11-22 0:00,3300875.857,3979630.571,-0.170557217
01-12-22 0:00,3285245.571,3906690.286,-0.159071918
30-11-22 0:00,3307136.286,3820814.571,-0.134442087
13-12-22 0:00,3476397.857,3937740.286,-0.117159182
30-12-22 0:00,3600303.143,4037059.429,-0.108186737
14-12-22 0:00,3533623.286,3934452.571,-0.101876761
02-12-22 0:00,3422930.857,3803750,-0.100116765
24-11-22 0:00,3426682.429,3761225.857,-0.088945317
15-12-22 0:00,3602563.143,3947932,-0.087480954
29-07-22 0:00,3701080.714,4051141.429,-0.086410391
23-06-22 0:00,3691999.571,4006547.857,-0.078508556
30-07-22 0:00,3521472.286,3805394.571,-0.074610472
19-09-22 0:00,3764820.714,4062344.857,-0.073239509
16-05-22 0:00,3517769.857,3782658.571,-0.070027127
03-12-22 0:00,3758781.286,4038247.143,-0.069204743
28-07-22 0:00,3630414,3899333.429,-0.068965487
11-12-22 0:00,3511085,3745814.857,-0.062664565
06-06-22 0:00,3800896.857,4053165.857,-0.062239989
16-12-22 0:00,3705774,3950410,-0.061926737
12-12-22 0:00,3514044.571,3737851.286,-0.059875768
31-12-22 0:00,3533034.429,3740527.143,-0.055471517
05-06-22 0:00,3892923.714,4104388.571,-0.051521646
21-04-22 0:00,4002405,4212277.286,-0.049823948
15-11-22 0:00,3567479.571,3753285.143,-0.049504784
10-10-22 0:00,3948214.714,4149531.143,-0.048515464
31-07-22 0:00,3700268.286,3886548.143,-0.047929384
09-10-22 0:00,4011928.571,4165944.857,-0.036970313
11-10-22 0:00,3708952.714,3839519,-0.034005897
22-09-22 0:00,3644645.286,3770658.429,-0.0334194
27-07-22 0:00,3644627.714,3770592.714,-0.033407215
21-06-22 0:00,3746271,3847058.571,-0.026198606
17-12-22 0:00,3675204.714,3773464.429,-0.026039656
15-05-22 0:00,3720289.857,3817737.429,-0.025524954
